category,headline
Artificial Intelligence,"Project Stargate: An Investigation into Anomalies, Oversight, and Dual-Use Capabilities"
Artificial Intelligence,China based Moonshot AI’s open source Kimi K2 outperforms GPT-4 in key benchmarks — and it’s free
Politics,Microsoft shareholders demand report into the company's 'human rights due diligence' over allegations of war crime complicity in Gaza | PC Gamer
Security,Russian pro basketball player gets the cuffs for allegedly being a member of ransomware gang — lawyer claims client sucks at computers and is not even able to install an application
Artificial Intelligence,"Grok 4 is less chatbot, more Elon Musk megaphone, users claim"
Artificial Intelligence,xAI and Grok apologize for ‘horrific behavior’
Hardware,"New tech could save the U.S. population $11 billion in medical costs yearly and prevent 60,000 fatalities"
Artificial Intelligence,"The Future of Work in the Age of AI: What Jobs Are Safe, and Who Will Be Replaced?"
Artificial Intelligence,Send in the clones
Hardware,"Asus just made an RTX 5090 with 11 lbs of real gold worth $500,000 — RTX 5090 ROG Astral Gold Edition is the most expensive GPU of all time"
Hardware,The Commodore 64 Ultimate computer is the company's first hardware release in over 30 years — pre-orders start at $299
Hardware,"HMD is ‘scaling back’ in the US, killing Nokia all over again"
Security,Nottingham Trent University hit by cyber attack as it resets everyone's passwords
Business,How one programmer broke the internet by deleting a tiny piece of code: A man in disrupted web development around the world by deleting 11 lines of code
Business,Windsurf's CEO goes to Google; OpenAI's acquisition falls apart
Business,"Marc Benioff says AI is radically reshaping Salesforce, and 51% of Q1 hiring was internal as thousands of employees were redeployed"
Hardware,"Now That Intel Is Cooked, Apple Doesn’t Need to Release New MacBooks Every Year"
Hardware,Ukraine Unveils Pocket-Sized Net Launcher to Take Down FPV Drones
Security,"Chrome and Edge browser extensions secretly hijacked, spied on millions of users | Some even received ""Verified"" and ""Featured"" badges from Google and Microsoft"
Politics,Doge wants to replace our institutions with a tech utopia. It won’t work
Business,"Indeed and Glassdoor are cutting over 1,000 jobs. The CEO overseeing both companies says 'we must adapt' to AI"
Hardware,"Belkin shows tech firms getting too comfortable with bricking customers’ stuff | There's no easy alternative, and IoT customers are paying the price"
Artificial Intelligence,Google hires Windsurf CEO and researchers to advance AI ambitions
Artificial Intelligence,Grok Is the Latest in a Long Line of Chatbots To Go Full Nazi
Business,Payment Processors Are Pushing AI Porn Off Its Biggest Platforms | Creators of AI image models for porn and celebrities are running out of easy hosting options as Civitai and Tensor.Art change their policies under pressure.
Business,X advertisers remain silent after Grok goes off the rails and CEO resigns
Business,Panasonic delays full production at US battery plant as Tesla sales drop
Artificial Intelligence,Workers at Elon Musk's xAI erupt on Slack after Grok's antisemitic rant
Politics,Victory for Trump as EU backs down on digital taxes in next budget
Business,Trump Adviser Stephen Miller Holds Six-Figure Investment in Tech Firm Profiting from Deportations
Artificial Intelligence,"We’re Light-Years Away from True Artificial Intelligence, Says Murderbot Author Martha Wells"
Hardware,A mess of its own making: Google nerfs second Pixel phone battery this year
